file,year,longitude,latitude,lr_shape,hr_shape,scale_h,channels,shape_ok,finite_ok,n_nonfinite,reflectance_ok,hr_min,hr_max,bands_ok,band_order_plausible,lr_matches_4x_avg_hr,lr_max_abs_err_vs_4x_avg,has_stored_metadata,valid
S2_2018_m121.07129_38.13431.npz,2018,-121.07129269341364,38.1343121474153,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.018449999392032623,0.47119998931884766,True,True,True,0.0,True,True
S2_2018_m121.07226_38.09502.npz,2018,-121.07226428908692,38.09501679709432,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017799999564886093,0.4787999987602234,True,True,True,0.0,True,True
S2_2018_m121.07494_38.10167.npz,2018,-121.07493944257695,38.10166523946532,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.025200000032782555,0.4560000002384186,True,True,True,0.0,True,True
S2_2018_m121.07524_38.18977.npz,2018,-121.07524278326488,38.189767240862835,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.016899999231100082,0.4867999851703644,True,True,True,0.0,True,True
S2_2018_m121.07656_38.09606.npz,2018,-121.07656212849697,38.096057704675175,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017799999564886093,0.4496999979019165,True,True,True,0.0,True,True
S2_2018_m121.07682_38.13066.npz,2018,-121.07681944154757,38.13066035645411,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.021549999713897705,0.5302000045776367,True,True,True,0.0,True,True
S2_2018_m121.07892_38.09667.npz,2018,-121.07892283457181,38.09667238892683,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017799999564886093,0.4528000056743622,True,True,True,0.0,True,True
S2_2018_m121.07931_38.09881.npz,2018,-121.0793101163972,38.09880932583428,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.024800000712275505,0.4528000056743622,True,True,True,0.0,True,True
S2_2018_m121.07964_38.19107.npz,2018,-121.07963640231763,38.19106642043851,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01759999990463257,0.4867999851703644,True,True,True,0.0,True,True
S2_2018_m121.08019_38.09724.npz,2018,-121.0801932908588,38.09723810323726,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.017799999564886093,0.4528000056743622,True,True,True,0.0,True,True
S2_2018_m121.08031_38.29046.npz,2018,-121.08030629392789,38.29045964122238,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013100000098347664,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.08147_38.12553.npz,2018,-121.08147132966899,38.12552781701555,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02459999918937683,0.46160000562667847,True,True,True,0.0,True,True
S2_2018_m121.08147_38.27635.npz,2018,-121.08147246703392,38.27635347822698,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.03245000168681145,0.6096000075340271,True,True,True,0.0,True,True
S2_2018_m121.08274_38.14661.npz,2018,-121.0827415856561,38.146610611555516,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.015699999406933784,0.4830000102519989,True,True,True,0.0,True,True
S2_2018_m121.08378_38.19575.npz,2018,-121.08377748057433,38.195745365840345,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.01080000028014183,0.5595999956130981,True,True,True,0.0,True,True
S2_2018_m121.08404_38.19957.npz,2018,-121.08403907365093,38.1995722260878,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.008200000040233135,0.43720000982284546,True,True,True,0.0,True,True
S2_2018_m121.08472_38.28871.npz,2018,-121.08471508475897,38.28870694184081,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013899999670684338,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.08611_38.29063.npz,2018,-121.08610636647462,38.29063432247802,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.015399999916553497,0.47824999690055847,True,True,True,0.0,True,True
S2_2018_m121.08690_38.27855.npz,2018,-121.08690113300679,38.278546275719094,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.013899999670684338,0.6096000075340271,True,True,True,0.0,True,True
S2_2018_m121.08713_38.27406.npz,2018,-121.08712684541463,38.2740630113231,"(32, 32, 4)","(128, 128, 4)",4.0,4,True,True,0,True,0.02160000056028366,0.4729999899864197,True,True,True,0.0,True,True
